idx,label,sentence
1265,1,I screamed at some children watching me.
5916,1,Molly gave Calvin a kiss.
1761,0,I have some papers to grade these exams and.
625,1,Press the stamp against the pad completely.
1944,1,I realized that it had rained and some crops had been destroyed.
90,1,John coughed himself awake on the bank of the lake where he and Bill had their play.
290,1,"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters."
3913,1,Kim relies on Sandy.
2252,1,The mouse nibbled on the cheese.
6967,1,The sheep got infected with scrapie.
5077,1,It was the man that bought the articles from him.
5878,1,Michael accidentally broke the glass.
7588,0,What Henry find was Bill sad.
5775,1,I am afraid of tigers.
81,1,Bill squeezed the puppet through the hole.
3330,1,The hanging gardens are a sight to behold.
4163,1,This Government has been more transparent in the way they have dealt with public finances than any previous government.
7429,0,"Mary won't have been eating cake, but John."
379,0,How do you wonder who could solve this problem.
5643,0,The in loved peanut butter cookies.
5426,0,We ate enough the puddings to satisfy us.
2982,0,We spotted that they were running.
3187,0,Her stepmother always clad her in black.
1414,0,Faith was had in all kinds of people.
5893,1,This key will open the door to the linguistics building.
3906,0,John gave a present to the student and Mary did the same thing to the teacher.
2177,1,Bill pounded the metal.
1903,1,Fred had a snake behind the car Joe was sitting in.
3321,1,I herded the cattle.
6130,0,Bill was bitten the dog.
5174,1,Every girl who saw anything was happy.
1453,1,It appears to be true that Harry likes girls.
7134,1,Bill will put a picture of this girl in the red coat on your desk before tomorrow.
6663,1,The cat trotted in.
1114,0,He attributed to a short circuit the fire.
5544,0,I'm as sad as angry.
751,0,They represented to the dean Mary as a genuine linguist.
3044,1,Ellen told a story to Helen.
2507,1,The river froze solid.
3497,0,"Despite of his limited educational opportunities, Abraham Lincoln became one of the greatest intellectuals in the world."
4366,1,We expect them to examine themselves.
1989,1,That the sun was out is obvious.
7057,0,I tried and buy some whiskey.
3680,1,John suddenly got off the bus.
4324,0,We believed there to try to leave the country.
4795,1,Peter will decide which book we should review.
4349,0,There preferred for Sandy to get the job.
6396,1,John talked to every woman.
6806,0,Ayala went to the ball and Jonathan Stubbs chatted to.
4249,0,I washed yourself.
6318,1,Chris wants himself to win.
1462,0,That Sam didn't pick those packages up is possible which are to be mailed tomorrow.
2076,1,Smith envied Jones his good fortune.
6821,1,Louise broke the cup.
7318,0,I prefer.
1312,0,"Although Bob may not be a nut, many people have claimed and I think so too."
2114,1,"Sandy taught the children the alphabet, but only got as far as the letter `` r ''."
2758,1,The children like to berry in the summer.
5013,1,Kim is easy to please.
7551,1,Everyone likes himself.
1314,1,Make yourself comfortable.
7887,1,Mary fell.
3358,1,Sylvia squirmed.
4961,0,What did Bill cook supper and wash?
3240,0,Tony broke at the window.
2309,1,Harriet alternated folk songs with pop songs.
6935,1,You'll soon be owning all the land round here.
6568,0,Where and when did Bill put the book?
959,1,John does not like Mary.
1178,0,Mary has never kissed as tall a man as John is.
229,1,"Fred became all the crazier, the more often Janet left."
5830,1,Bill wants Susan to leave.
527,0,The box contained the ball to the ground.
4876,1,The president who Fred voted for has resigned.
7640,1,Everyone hopes to sleep.
3028,0,I hunted the woods for game.
5686,1,I gave blood.
3254,1,Jennifer baked Idaho potatoes.
6944,1,The beaver built a dam.
4122,0,Student studies English for 4 hours a day.
4734,0,The lesson got read by a priest.
6474,1,Bill offered Mary everything he had cooked for dinner.
8458,1,Quickly kiss Anson!
5744,1,That Bill's breath smells of onions bothers Erin.
1859,1,"Them, they can't stand each other."
7423,0,"Yes, she."
1088,1,Whom did Mary see walking toward the railroad station?
495,0,"Bill seems to be obnoxious, but I don't think that Sam tends."
5951,1,I ordered that John drink his beer.
8124,0,He can can go
2092,1,"Lewis shipped Sam a bicycle, but it never arrived."
1995,1,"Tonight, what Bob cooked yesterday still tastes good, so tonight, what Bob cooked yesterday will be eaten up."
8520,1,How did Julie ask if Jenny left?
3970,1,We have not confirmed whether the flight had been booked.
7980,1,I climbed up the tree.
5704,1,John and the man went to the store.
4514,1,Shall I go downtown?
7058,0,I was trying and buying some whiskey.
3584,1,She thought it was likely that everyone might fit into the car.
6710,1,Wickham eloped with Lydia.
1319,0,Which boy and the girl embraced?
1503,1,It is beans that I don't like.
8187,1,Alison and David soaked their feet in the kitchen
3470,1,The box contains many tools.
2350,0,I stalked for game in the woods.
8525,0,The owl hated the and loved the bat.
2575,0,I lifted onto the table.
2922,1,The jeweller printed the name onto the cup.
1548,1,Tom knows it and Dick knows it and Harry knows it.
1744,1,"They said that Tom would pay up, and pay up it is well-known that he did."
549,1,The dog went crazy.
1013,1,Each student speaks two languages.
4856,0,Who do you think that has given the tickets to Bill?
237,1,I know how fast you ran.
3205,1,The door hinges squeaked.
5387,0,She has problem enough as it is.
7926,1,The man chuckles
3121,0,Cynthia munched at peaches.
4466,0,John did not rain.
1074,1,Which report that John revised did he submit?
1834,1,"My wife, somebody stole her handbag last night."
5863,1,Linguistics students like phonetics tutorials.
316,1,I hit the ball.
4885,1,the people happy with the proposal left.
4275,0,It is eager to please Kim.
2874,1,Herman mixed the eggs and the cream together.
3635,1,"John asked me to put the clothes in the cupboard, and to annoy him I really stuffed them there."
657,1,John gave Bill the book.
8489,0,Which temple did Athena contemplate the reason that her devotees had built?
4183,1,All of these cars belong to me.
1422,1,The boy's uncle and aunt were kissing.
6544,0,"The table, I put Kim on which supported the book."
1851,1,"They can't stand each other, him and her."
7753,1,That picture of Jenny in a rubber dress doesn't flatter her.
5042,1,It disturbs the Chinese government that the Dalai Lama claims Tibet independence.
2030,1,I threw the ball to Maria.
6051,1,John said Heidi was obsessed with broccoli.
5129,0,That brought the letter is Bill.
1472,0,Which packages didn't Sam pick up which are to be mailed tomorrow until it had stopped raining?
4545,1,He dared not argue against his parents.
3920,0,The boy gave the book.
2775,1,Steve tossed the ball at Anna.
5428,1,John is the kind of the fool that I told you about.
2754,1,Gwen exchanged the dress for a shirt.
6,1,Fred watered the plants flat.
3317,1,In the aquarium swam a striped fish.
7344,1,I gave the charity.
587,0,the road blocked with a stone.
1244,1,Myron is making the claim that dead is better than red.
2662,1,The cook boned the fish.
7218,0,It is to be gentle that John promised.
2700,1,Amanda drove the package to New York.
8265,0,Jason arrived by Medea.
6127,0,There danced three men at the palace.
7437,0,John studied carefully Russian.
4691,1,The lawyer looked into the document.
5955,0,I ordered if John drink his beer.
1242,1,We are discussing their claim that flying saucers are real.
5346,1,Mary is shorter than five feet.
5228,1,"Given my high opinion on his moral character, I was surprised that he stole the watch."
8021,1,Moya said she liked football.
6067,1,Rory may be eating the muffins.
3272,1,The roses bloomed.
2711,1,Nora pushed the chair.
5740,1,Juliet says that Romeo lies to his parents a lot.
4964,1,They met someone who knows the professor.
7797,1,Gilgamesh may have quickly cast the spell
1731,0,"Hank plays the guitar and finds arrangements for, and Ernie writes down, all the old folk songs which are still sung in these hills."
5856,1,That Harry loves dancing is evidenced by his shiny tap shoes.
8058,0,Many people were there playing on the beach
4560,0,It has rain every day for the last week.
7027,1,Kim alienated cats and beats his dog.
2762,1,She held him by the arm.
1313,1,When did you get back and what did you bring me?
6112,1,He swatted her.
4212,1,Each of these stones has to be cut and polished.
3664,1,They stayed in the hotel.
4136,1,It's nothing like the America I remember.
6890,1,What the baby did was chew the biscuit.
3147,1,Gloria dozed.
8119,1,The very old and extremely wise owl.
8280,1,Which goddess did help us?
3581,1,"I know I should go to the dentist's, but I just don't want to."
3715,1,John wants to study linguistics in near future.
8214,0,The owl hated the evil and the wise eagle.
4416,0,John will to kick the ball.
5364,1,Enough is going on to keep them confused.
2894,1,I separated the egg yolks and the egg whites.
5674,1,I gave the box to Leah.
7582,1,Mary prefers that her ice cream is in a cone.
6918,1,The climbers were killed by the intense cold.
846,1,"José ate cabbage, and Holly has too."
5879,1,Leah likes cookies.
8497,1,The boys all should could go
6140,0,The book was been given by Bill by Sue.
5941,1,Louis was forgiven by Susan.
5448,1,He's a reliable enough man.
7235,1,It was John and Bill that were waiting at the restaurant.
953,1,"The candidate was dogged by charges of infidelity and avoiding the draft, or at least trying to."
6488,1,John liked everything that was placed before him.
7075,1,You or Kerry have perjured yourselves.
4372,1,Tom will not leave.
122,1,"The harder it rains, how much faster a flow do you see in the river?"
5826,0,the man standing over there's the hat impressed me greatly.
2550,0,Cheryl stood the books from Edna to Sarah.
6094,1,Are you always thinking dirty thoughts?
7701,0,Gilgamesh doesn't be in the dungeon
6379,1,You may pick absolutely any flower.
1734,1,"They said that Tom would pay up, and pay up he did."
8101,1,That Plato lived in the city of Athens was well-known.
6796,1,Fanny loved talking to Mary.
1661,0,"Fluffy is sick, which I fell asleep and Tom suddenly realized."
6953,1,Tess is knocking at the door.
7343,0,They surrounded.
3977,0,Oliver addressed the king the letter.
596,1,The tree lost some branches.
2576,1,Tamara poured water into the bowl.
8321,1,Agamemnon forced Aphrodite to leave the school.
4434,1,John was seeing his children.
6050,0,Heidi investigated to eat the cauliflower.
1910,1,There were several hundred people yelling for me to put down gently.
3138,0,Linda winked his eye.
5123,0,Lee wants to meet who Kim hired.
5743,1,Fred feels fine.
2035,1,Jake threw the ball halfway to Bill.
8134,1,Anson kicked the cat
2254,1,Martha climbed up the mountain.
7041,0,Who did Robin visit and?
6579,1,I wonder who and whose friends he handed over to the FBI.
4020,1,The foxes seem compatible with the chickens.
4446,1,is out since the following is finite.
6598,0,"John told, and Harry showed, Seymour that Sally was a virgin."
50,1,The dog barked its way out of the room.
2933,1,Martha carved a piece of wood for the baby.
5611,1,I expect to more than double my profits.
7985,1,The constant reading of Shakespeare satisfied me
2705,0,Amanda drove at the package.
6459,1,Susan found every book she had been looking for at Borders.
6649,1,With this chainsaw we felled the murder.
2646,1,Carla shoveled the snow from under the bushes.
2494,1,The boy pushed his way through the crowd.
6646,1,"Very heavy, this parcel!"
6438,1,Any pilot must be out flying planes today.
3793,0,John gave Tom a book a record.
1855,1,"Me, I like beer."
3816,1,A boy hit the ball.
1306,0,"Tom picked, and I washed some turnips, and Suzie will prepare, these grapes."
1918,0,The only girl for whom it bothers me to wear that old fedora is Annabelle.
4858,0,On whom does Dana believe Chris knows Sandy trusts?
3955,1,Historians believe FDR to be our most effective president.
5148,1,Who do you think it is that Mary met?
6855,1,It is to the best students that he gives this book.
7643,1,"Only Churchill remembered giving the Blood, Sweat and Tears speech."
7309,1,They wonder about this.
7354,0,John criticized.
3246,1,Copper rods bend easily.
3962,1,You would have a reply if you come back tomorrow.
1095,1,Who did he expect to show up who I was acquainted with?
5341,1,I am more angry than sad.
4931,1,the box we put the books in is sealed.
47,1,The knee replacement candidate groaned up the stairs.
5206,1,A professional dancer would be able to do it.
990,1,The testing of such drugs on oneself is too risky.
7917,1,"Poseidon was asleep, when the executioner arrived."
7125,1,That our perspectives had changed over the years and the issues we had worked on as students were the topics of discussion.
878,1,"That Betsy won the batting crown is not surprising, but that Peter didn't know she did is surprising."
5414,0,She speaks too much clearly.
1464,0,It is possible that Sam didn't pick those packages which are to be mailed tomorrow up.
3859,1,The students all worked that summer.
1831,1,"My father, I hardly ever see him and my mother when they're not glaring at each other."
7352,1,John knows.
1089,1,Do you know the boy who Mary saw?
1365,0,The boy's guardian's we elected employer president.
6563,1,I wonder who Bill saw and Mary liked.
6581,1,I have wanted to know for many years exactly what happened to Rosa.
1848,1,"We'll do it together, you and I."
4957,1,"The knife, which he threw into the sea had a gold handle."
1774,1,The raise which Scrooge generously gave Tom's father increased his yearly salary by five cents.
7704,0,What I said that was we would go.
4666,1,She was sent to Seoul.
6916,1,The computer is playing six simultaneous games of three dimensional chess.
8259,1,I thought she was pregnant
7987,1,What she thought was that the poison was neutralised
4274,0,There hopes to bother Kim that they resigned.
2118,1,Nixon's behavior gave an idea for a book to every journalist living in New York City in the 1970s.
4982,1,The man on whose lap the puppet is sitting is ventriloquist.
4353,1,There are more chemical substances involved in nerve transmission.
1387,0,The place which I live at is the place where Route 150 crosses the Hudson River.
6877,1,Memo ate the spaghetti.
6780,0,Fanny continued talking although in came Aunt Norris.
5571,0,Bill kissed herself.
6779,0,When in came Aunt Norris Fanny stopped talking.
2917,1,Smith was annealing the rings.
147,0,"It is important the more you to eat, the more careful for you to be."
3896,0,John kept behind the counter.
4290,1,The dentist is likely to examine Pat.
8117,1,I believed she was pregnant
4113,1,Aloe may have an analgesic effect on inflammation and minor skin irritations.
4054,1,John believed it.
3344,1,A wonderful opportunity presented itself yesterday.
807,0,Mary considered his to have loved her.
