context,question,answer_start,text
"An exception to the usual European qualification system happened in 2005, after Liverpool won the Champions League the year before, but did not finish in a Champions League qualification place in the Premier League that season. UEFA gave special dispensation for Liverpool to enter the Champions League, giving England five qualifiers. UEFA subsequently ruled that the defending champions qualify for the competition the following year regardless of their domestic league placing. However, for those leagues with four entrants in the Champions League, this meant that if the Champions League winner finished outside the top four in its domestic league, it would qualify at the expense of the fourth-placed team in the league. No association can have more than four entrants in the Champions League. This occurred in 2012, when Chelsea – who had won the Champions League the previous year, but finished sixth in the league – qualified for the Champions League in place of Tottenham Hotspur, who went into the Europa League.",Which team was denied entry into the Champions League in 2012 due to being bumped out of the running by the defending champion?,971,Tottenham Hotspur
"In February 1975, Margaret Thatcher was elected leader of the British Conservative Party. The Institute of Economic Affairs arranged a meeting between Hayek and Thatcher in London soon after. During Thatcher's only visit to the Conservative Research Department in the summer of 1975, a speaker had prepared a paper on why the ""middle way"" was the pragmatic path the Conservative Party should take, avoiding the extremes of left and right. Before he had finished, Thatcher ""reached into her briefcase and took out a book. It was Hayek's The Constitution of Liberty. Interrupting our pragmatist, she held the book up for all of us to see. 'This', she said sternly, 'is what we believe', and banged Hayek down on the table"".",Who did Thatcher meet with shortly after she was elected as the head of her party?,151,Hayek
"In 1839, Melbourne resigned after Radicals and Tories (both of whom Victoria detested) voted against a bill to suspend the constitution of Jamaica. The bill removed political power from plantation owners who were resisting measures associated with the abolition of slavery. The Queen commissioned a Tory, Sir Robert Peel, to form a new ministry. At the time, it was customary for the prime minister to appoint members of the Royal Household, who were usually his political allies and their spouses. Many of the Queen's ladies of the bedchamber were wives of Whigs, and Peel expected to replace them with wives of Tories. In what became known as the bedchamber crisis, Victoria, advised by Melbourne, objected to their removal. Peel refused to govern under the restrictions imposed by the Queen, and consequently resigned his commission, allowing Melbourne to return to office.",The removal of the Queens bedchamber ladies became known as what?,645,the bedchamber crisis
"Although research has been inconclusive, some findings have indicated that electronic communication negatively affects adolescents' social development, replaces face-to-face communication, impairs their social skills, and can sometimes lead to unsafe interaction with strangers. A 2015 review reported that “adolescents lack awareness of strategies to cope with cyberbullying, which has been consistently associated with an increased likelihood of depression.” Studies have shown differences in the ways the internet negatively impacts the adolescents' social functioning. Online socializing tends to make girls particularly vulnerable, while socializing in Internet cafés seems only to affect boys academic achievement. However, other research suggests that Internet communication brings friends closer and is beneficial for socially anxious teens, who find it easier to interact socially online. The more conclusive finding has been that Internet use has a negative effect on the physical health of adolescents, as time spent using the Internet replaces time doing physical activities. However, the Internet can be significantly useful in educating teens because of the access they have to information on many various topics.",Which online activity has been consistently associated with increased liklihood of depression?,362,cyberbullying
"The capital, Brazzaville, is located on the Congo River, in the south of the country, immediately across from Kinshasa, the capital of the Democratic Republic of the Congo.",On what river can Brazzaville be found?,44,Congo River
"In 2010, the first year of the reconstituted league following bankruptcy, the overall attendance average decreased to 8,135, with only one team (Tampa Bay) exceeding 13,000 per game.","What team drew more than 13,000 fans per game in 2010?",145,Tampa Bay
"Glaciers pick up rocks and sediment with them as they flow. This causes erosion and the formation of valleys over time. The Inn valley is an example of a valley carved by glaciers during the ice ages with a typical terraced structure caused by erosion. Eroded rocks from the most recent ice age lie at the bottom of the valley while the top of the valley consists of erosion from earlier ice ages. Glacial valleys have characteristically steep walls (reliefs); valleys with lower reliefs and talus slopes are remnants of glacial troughs or previously infilled valleys. Moraines, piles of rock picked up during the movement of the glacier, accumulate at edges, center and the terminus of glaciers.",What is an example of a valley carved by glaciers during the ice ages?,120,The Inn valley
"In March 1861, Victoria's mother died, with Victoria at her side. Through reading her mother's papers, Victoria discovered that her mother had loved her deeply; she was heart-broken, and blamed Conroy and Lehzen for ""wickedly"" estranging her from her mother. To relieve his wife during her intense and deep grief, Albert took on most of her duties, despite being ill himself with chronic stomach trouble. In August, Victoria and Albert visited their son, the Prince of Wales, who was attending army manoeuvres near Dublin, and spent a few days holidaying in Killarney. In November, Albert was made aware of gossip that his son had slept with an actress in Ireland. Appalled, Albert travelled to Cambridge, where his son was studying, to confront him. By the beginning of December, Albert was very unwell. He was diagnosed with typhoid fever by William Jenner, and died on 14 December 1861. Victoria was devastated. She blamed her husband's death on worry over the Prince of Wales's philandering. He had been ""killed by that dreadful business"", she said. She entered a state of mourning and wore black for the remainder of her life. She avoided public appearances, and rarely set foot in London in the following years. Her seclusion earned her the nickname ""widow of Windsor"".",What was Albert ill with?,380,chronic stomach trouble
"The Sustainable Development Goals are ambitious, and they will require enormous efforts across countries, continents, industries and disciplines - but they are achievable. UNFPA is working with governments, partners and other UN agencies to directly tackle many of these goals - in particular Goal 3 on health, Goal 4 on education and Goal 5 on gender equality - and contributes in a variety of ways to achieving many of the rest.",What does the fourth goal focus on improving?,321,education
"The 1973–74 season saw the arrival of Johan Cruyff, who was bought for a world record £920,000 from Ajax. Already an established player with Ajax, Cruyff quickly won over the Barcelona fans when he told the European press that he chose Barcelona over Real Madrid because he could not play for a club associated with Francisco Franco. He further endeared himself when he named his son Jordi, after the local Catalan Saint George. Next to champions like Juan Manuel Asensi, Carles Rexach and Hugo Sotil, he helped the club win the 1973–74 season for the first time since 1960, defeating Real Madrid 5–0 at the Bernabéu along the way. He was crowned European Footballer of the Year in 1973 during his first season with Barcelona (his second Ballon d'Or win; he won his first while playing for Ajax in 1971). Cruyff received this prestigious award a third time (the first player to do so) in 1974, while he was still with Barcelona.",When was Johan Cruyff crowned footballer of the year for the third time?,888,1974
"Scotland has a very different educational system from England and Wales, though also based on comprehensive education. It has different ages of transfer, different examinations and a different philosophy of choice and provision. All publicly funded primary and secondary schools are comprehensive. The Scottish Government has rejected plans for specialist schools as of 2005.",When was Scotland's latest rejection of the specialist school model?,370,2005
"French cuisine, West Indian cuisine, Creole cuisine, Italian cuisine and Asian cuisine are common in St. Barthélemy. The island has over 70 restaurants serving many dishes and others are a significant number of gourmet restaurants; many of the finest restaurants are located in the hotels. There are also a number of snack restaurants which the French call ""les snacks"" or ""les petits creux"" which include sandwiches, pizzas and salads. West Indian cuisine, steamed vegetables with fresh fish is common; Creole dishes tend to be spicier. The island hosts gastronomic events throughout the year, with dishes such as spring roll of shrimp and bacon, fresh grilled lobster, Chinese noodle salad with coconut milk, and grilled beef fillet etc.",Where are most of the nice restaurants located?,275,in the hotels
"Many types of sports equipment are made of wood, or were constructed of wood in the past. For example, cricket bats are typically made of white willow. The baseball bats which are legal for use in Major League Baseball are frequently made of ash wood or hickory, and in recent years have been constructed from maple even though that wood is somewhat more fragile. NBA courts have been traditionally made out of parquetry.",Ash and hickory are often used for baseball bats to comply with the rules of what organization?,197,Major League Baseball
"Most of the world's airports are owned by local, regional, or national government bodies who then lease the airport to private corporations who oversee the airport's operation. For example, in the United Kingdom the state-owned British Airports Authority originally operated eight of the nation's major commercial airports - it was subsequently privatized in the late 1980s, and following its takeover by the Spanish Ferrovial consortium in 2006, has been further divested and downsized to operating just five. Germany's Frankfurt Airport is managed by the quasi-private firm Fraport. While in India GMR Group operates, through joint ventures, Indira Gandhi International Airport and Rajiv Gandhi International Airport. Bengaluru International Airport and Chhatrapati Shivaji International Airport are controlled by GVK Group. The rest of India's airports are managed by the Airports Authority of India.",What group took over the British Airports Authority in 2006?,409,Spanish Ferrovial consortium
"Since 2009, the Tucson Festival of Books has been held annually over a two-day period in March at the University of Arizona. By 2010 it had become the fourth largest book festival in the United States, with 450 authors and 80,000 attendees. In addition to readings and lectures, it features a science fair, varied entertainment, food, and exhibitors ranging from local retailers and publishers to regional and national nonprofit organizations. In 2011, the Festival began presenting a Founder's Award; recipients include Elmore Leonard and R.L. Stine.",When is the Tucson Festival of Books held?,69,a two-day period in March
"Von Braun and his team were sent to the United States Army's White Sands Proving Ground, located in New Mexico, in 1945. They set about assembling the captured V2s and began a program of launching them and instructing American engineers in their operation. These tests led to the first rocket to take photos from outer space, and the first two-stage rocket, the WAC Corporal-V2 combination, in 1949. The German rocket team was moved from Fort Bliss to the Army's new Redstone Arsenal, located in Huntsville, Alabama, in 1950. From here, von Braun and his team would develop the Army's first operational medium-range ballistic missile, the Redstone rocket, that would, in slightly modified versions, launch both America's first satellite, and the first piloted Mercury space missions. It became the basis for both the Jupiter and Saturn family of rockets.",Von Braun and his associates were sent to  United States Army's White Sands Proving Ground in what year?,115,1945
"Original master discs are created by lathe-cutting: a lathe is used to cut a modulated groove into a blank record. The blank records for cutting used to be cooked up, as needed, by the cutting engineer, using what Robert K. Morrison describes as a ""metallic soap,"" containing lead litharge, ozokerite, barium sulfate, montan wax, stearin and paraffin, among other ingredients. Cut ""wax"" sound discs would be placed in a vacuum chamber and gold-sputtered to make them electrically conductive for use as mandrels in an electroforming bath, where pressing stamper parts were made. Later, the French company Pyral invented a ready-made blank disc having a thin nitro-cellulose lacquer coating (approximately 7 mils thickness on both sides) that was applied to an aluminum substrate. Lacquer cuts result in an immediately playable, or processable, master record. If vinyl pressings are wanted, the still-unplayed sound disc is used as a mandrel for electroforming nickel records that are used for manufacturing pressing stampers. The electroformed nickel records are mechanically separated from their respective mandrels. This is done with relative ease because no actual ""plating"" of the mandrel occurs in the type of electrodeposition known as electroforming, unlike with electroplating, in which the adhesion of the new phase of metal is chemical and relatively permanent. The one-molecule-thick coating of silver (that was sprayed onto the processed lacquer sound disc in order to make its surface electrically conductive) reverse-plates onto the nickel record's face. This negative impression disc (having ridges in place of grooves) is known as a nickel master, ""matrix"" or ""father."" The ""father"" is then used as a mandrel to electroform a positive disc known as a ""mother"". Many mothers can be grown on a single ""father"" before ridges deteriorate beyond effective use. The ""mothers"" are then used as mandrels for electroforming more negative discs known as ""sons"". Each ""mother"" can be used to make many ""sons"" before deteriorating. The ""sons"" are then converted into ""stampers"" by center-punching a spindle hole (which was lost from the lacquer sound disc during initial electroforming of the ""father""), and by custom-forming the target pressing profile. This allows them to be placed in the dies of the target (make and model) record press and, by center-roughing, to facilitate the adhesion of the label, which gets stuck onto the vinyl pressing without any glue. In this way, several million vinyl discs can be produced from a single lacquer sound disc. When only a few hundred discs are required, instead of electroforming a ""son"" (for each side), the ""father"" is removed of its silver and converted into a stamper. Production by this latter method, known as the ""two-step-process"" (as it does not entail creation of ""sons"" but does involve creation of ""mothers,"" which are used for test playing and kept as ""safeties"" for electroforming future ""sons"") is limited to a few hundred vinyl pressings. The pressing count can increase if the stamper holds out and the quality of the vinyl is high. The ""sons"" made during a ""three-step"" electroforming make better stampers since they don't require silver removal (which reduces some high fidelity because of etching erasing part of the smallest groove modulations) and also because they have a stronger metal structure than ""fathers"".",What is the limitation of the two step process?,2963,limited to a few hundred vinyl pressings
"The first record of the existence of a settlement at Plymouth was in the Domesday Book in 1086 as Sudtone, Saxon for south farm, located at the present day Barbican. From Saxon times, it was in the hundred of Roborough. In 1254 it gained status as a town and in 1439, became the first town in England to be granted a Charter by Parliament. Between 1439 and 1934, Plymouth had a Mayor. In 1914 the county boroughs of Plymouth and Devonport, and the urban district of East Stonehouse merged to form a single county borough of Plymouth. Collectively they were referred to as ""The Three Towns"".",In what year did Parliament bestow a Charter on Plymouth?,262,1439
"The term Carnival is traditionally used in areas with a large Catholic presence. However, the Philippines, a predominantly Roman Catholic country, does not celebrate Carnival anymore since the dissolution of the Manila Carnival after 1939, the last carnival in the country. In historically Lutheran countries, the celebration is known as Fastelavn, and in areas with a high concentration of Anglicans and Methodists, pre-Lenten celebrations, along with penitential observances, occur on Shrove Tuesday. In Eastern Orthodox nations, Maslenitsa is celebrated during the last week before Great Lent. In German-speaking Europe and the Netherlands, the Carnival season traditionally opens on 11/11 (often at 11:11 a.m.). This dates back to celebrations before the Advent season or with harvest celebrations of St. Martin's Day.",What is the Carnival celebration known as in Lutheran countries?,338,Fastelavn
"In the final decades of this era many plebeians grew poorer. The long military campaigns had forced citizens to leave their farms to fight, while their farms fell into disrepair. The landed aristocracy began buying bankrupted farms at discounted prices. As commodity prices fell, many farmers could no longer operate their farms at a profit. The result was the ultimate bankruptcy of countless farmers. Masses of unemployed plebeians soon began to flood into Rome, and thus into the ranks of the legislative assemblies. Their poverty usually led them to vote for the candidate who offered them the most. A new culture of dependency was emerging, in which citizens would look to any populist leader for relief.",How could a candidate assure the vote of a poverty stricken plebeian?,581,offered them the most
"From the early stages of Christianity, belief in the virginity of Mary and the virgin conception of Jesus, as stated in the gospels, holy and supernatural, was used by detractors, both political and religious, as a topic for discussions, debates and writings, specifically aimed to challenge the divinity of Jesus and thus Christians and Christianity alike. In the 2nd century, as part of the earliest anti-Christian polemics, Celsus suggested that Jesus was the illegitimate son of a Roman soldier named Panthera. The views of Celsus drew responses from Origen, the Church Father in Alexandria, Egypt, who considered it a fabricated story. How far Celsus sourced his view from Jewish sources remains a subject of discussion.",In which century did Celsus suggest that Jesus' father was a Roman soldier?,365,2nd
"The macronutrients are carbohydrates, fats, protein, and water. The macronutrients (excluding fiber and water) provide structural material (amino acids from which proteins are built, and lipids from which cell membranes and some signaling molecules are built) and energy. Some of the structural material can be used to generate energy internally, and in either case it is measured in Joules or kilocalories (often called ""Calories"" and written with a capital C to distinguish them from little 'c' calories). Carbohydrates and proteins provide 17 kJ approximately (4 kcal) of energy per gram, while fats provide 37 kJ (9 kcal) per gram, though the net energy from either depends on such factors as absorption and digestive effort, which vary substantially from instance to instance. Vitamins, minerals, fiber, and water do not provide energy, but are required for other reasons.",What unit other than calories is used to measure the energy generated by nutrients?,384,Joules
"In 1952, the United States elected a new president, and on 29 November 1952, the president-elect, Dwight D. Eisenhower, went to Korea to learn what might end the Korean War. With the United Nations' acceptance of India's proposed Korean War armistice, the KPA, the PVA, and the UN Command ceased fire with the battle line approximately at the 38th parallel. Upon agreeing to the armistice, the belligerents established the Korean Demilitarized Zone (DMZ), which has since been patrolled by the KPA and ROKA, United States, and Joint UN Commands.",Who did the US elect as president during the Korean War?,98,Dwight D. Eisenhower
"According to Sahih al-Bukhari, the Quran was recited among Levantines and Iraqis, and discussed by Christians and Jews, before it was standardized. Its language was similar to the Syriac language.[citation needed] The Quran recounts stories of many of the people and events recounted in Jewish and Christian sacred books (Tanakh, Bible) and devotional literature (Apocrypha, Midrash), although it differs in many details. Adam, Enoch, Noah, Eber, Shelah, Abraham, Lot, Ishmael, Isaac, Jacob, Joseph, Job, Jethro, David, Solomon, Elijah, Elisha, Jonah, Aaron, Moses, Zechariah, John the Baptist and Jesus are mentioned in the Quran as prophets of God (see Prophets of Islam). In fact, Moses is mentioned more in the Quran than any other individual. Jesus is mentioned more often in the Quran than Muhammad, while Mary is mentioned in the Quran more than the New Testament. Muslims believe the common elements or resemblances between the Bible and other Jewish and Christian writings and Islamic dispensations is due to their common divine source,[citation needed] and that the original Christian or Jewish texts were authentic divine revelations given to prophets.",Which Biblical character is the most often mentioned person in the Quran?,684,Moses
"While Old Czech had a basic alphabet from which a general set of orthographical correspondences was drawn, it did not have a standard orthography. It also contained a number of sound clusters which no longer exist; allowing ě (/jɛ/) after soft consonants, which has since shifted to e (/ɛ/), and allowing complex consonant clusters to be pronounced all at once rather than syllabically. A phonological phenomenon, Havlik's law (which began in Proto-Slavic and took various forms in other Slavic languages), appeared in Old Czech; counting backwards from the end of a clause, every odd-numbered yer was vocalized as a vowel, while the other yers disappeared.",How did old Czech allow some complex consonant clusters to be pronounced?,349,all at once
"The most obvious difference between the brains of mammals and other vertebrates is in terms of size. On average, a mammal has a brain roughly twice as large as that of a bird of the same body size, and ten times as large as that of a reptile of the same body size.",A mammal's brain is how many times larger than a reptiles relative to body size?,202,ten times
"American Idol premiered in June 2002 and became the surprise summer hit show of 2002. The first show drew 9.9 million viewers, giving Fox the best viewing figure for the 8.30 pm spot in over a year. The audience steadily grew, and by finale night, the audience had averaged 23 million, with more than 40 million watching some part of that show. That episode was placed third amongst all age groups, but more importantly it led in the 18–49 demographic, the age group most valued by advertisers.",When did American Idol premiere?,27,June 2002
"These areas contain some spectacular scenery as well, as evidenced by such national parks as Yosemite and Mount Rainier. West of the Cascades and Sierra Nevada is a series of valleys, such as the Central Valley in California and the Willamette Valley in Oregon. Along the coast is a series of low mountain ranges known as the Pacific Coast Ranges. Much of the Pacific Northwest coast is inhabited by some of the densest vegetation outside of the Tropics, and also the tallest trees in the world (the Redwoods).",What is the name of the famous valley located in Oregon?,233,Willamette Valley
"Under anaerobic conditions, iron and steel alloys are slowly oxidized by the protons of water concomitantly reduced in molecular hydrogen (H
2). The anaerobic corrosion of iron leads first to the formation of ferrous hydroxide (green rust) and can be described by the following reaction:",What does the anaerobic corrosion of iron lead to?,196,formation of ferrous hydroxide
"IBM acquired Kenexa (2012) and SPSS (2009) and PwC's consulting business (2002), spinning off companies like printer manufacturer Lexmark (1991), and selling off product lines like its personal computer and x86 server businesses to Lenovo (2005, 2014). In 2014, IBM announced that it would go ""fabless"" by offloading IBM Micro Electronics semiconductor manufacturing to GlobalFoundries, a leader in advanced technology manufacturing, citing that semiconductor manufacturing is a capital-intensive business which is challenging to operate without scale. This transition had progressed as of early 2015[update].","IBM sold two product lines to Lenovo, name them.",185,personal computer and x86 server
"During 1976, Queen played one of their most famous gigs, a free concert in Hyde Park, London. A concert organised by the entrepreneur Richard Branson, it set an attendance record with 150,000 people confirmed in the audience. On 1 December 1976, Queen were the intended guests on London's early evening Today programme, but they pulled out at the last-minute, which saw their late replacement on the show, EMI labelmate the Sex Pistols, give their seminal interview. During the A Day at the Races Tour in 1977, Queen performed sold-out shows at Madison Square Garden, New York, in February, and Earls Court, London, in June.",Who organized a free concert by Queen in 1976?,134,Richard Branson
"The PLP, the party in government when the decision to join CARICOM was made, has been dominated for decades by West Indians and their descendants. (The prominent roles of West Indians among Bermuda's black politicians and labour activists predated party politics in Bermuda, as exemplified by Dr. E. F. Gordon). The late PLP leader, Dame Lois Browne-Evans, and her Trinidadian-born husband, John Evans (who co-founded the West Indian Association of Bermuda in 1976), were prominent members of this group. They have emphasised Bermuda's cultural connections with the West Indies. Many Bermudians, both black and white, who lack family connections to the West Indies have objected to this emphasis.",Why are some Bermudians against the emphasis of West Indies cultural connections?,579,"Many Bermudians, both black and white, who lack family connections to the West Indies"
"The main mineral resource known on the continent is coal. It was first recorded near the Beardmore Glacier by Frank Wild on the Nimrod Expedition, and now low-grade coal is known across many parts of the Transantarctic Mountains. The Prince Charles Mountains contain significant deposits of iron ore. The most valuable resources of Antarctica lie offshore, namely the oil and natural gas fields found in the Ross Sea in 1973. Exploitation of all mineral resources is banned until 2048 by the Protocol on Environmental Protection to the Antarctic Treaty.",Where are oil and gas deposits located near Antarctica?,408,Ross Sea
"Educational psychology can in part be understood through its relationship with other disciplines. It is informed primarily by psychology, bearing a relationship to that discipline analogous to the relationship between medicine and biology. Educational psychology in turn informs a wide range of specialties within educational studies, including instructional design, educational technology, curriculum development, organizational learning, special education and classroom management. Educational psychology both draws from and contributes to cognitive science and the learning sciences. In universities, departments of educational psychology are usually housed within faculties of education, possibly accounting for the lack of representation of educational psychology content in introductory psychology textbooks (Lucas, Blazek, & Raley, 2006).",How is the method of educational psychology have some relation to medicine and biology?,169,discipline analogous
"This season saw the first Idol Gives Back telethon-inspired event, which raised more than $76 million in corporate and viewer donations. No contestant was eliminated that week, but two (Phil Stacey and Chris Richardson) were eliminated the next. Melinda Doolittle was eliminated in the final three.",Who was eliminated on the Top 3 show?,246,Melinda Doolittle
"German historian Reinhart Koselleck claimed that ""On the Continent there were two social structures that left a decisive imprint on the Age of Enlightenment: the Republic of Letters and the Masonic lodges."" Scottish professor Thomas Munck argues that ""although the Masons did promote international and cross-social contacts which were essentially non-religious and broadly in agreement with enlightened values, they can hardly be described as a major radical or reformist network in their own right."" Many of the Masons values seemed to greatly appeal to Enlightenment values and thinkers. Diderot discusses the link between Freemason ideals and the enlightenment in D'Alembert's Dream, exploring masonry as a way of spreading enlightenment beliefs. Historian Margaret Jacob stresses the importance of the Masons in indirectly inspiring enlightened political thought. On the negative side, Daniel Roche contests claims that Masonry promoted egalitarianism. He argues that the lodges only attracted men of similar social backgrounds. The presence of noble women in the French ""lodges of adoption"" that formed in the 1780s was largely due to the close ties shared between these lodges and aristocratic society.",Which Scottish professor believes that Masons were not a major radical or reformist network in their own right?,226,Thomas Munck
"Early web browsers supported only a very simple version of HTML. The rapid development of proprietary web browsers led to the development of non-standard dialects of HTML, leading to problems with interoperability. Modern web browsers support a combination of standards-based and de facto HTML and XHTML, which should be rendered in the same way by all browsers.",Non-standard dialects led to what?,183,problems with interoperability
"Two Polish friends in Paris were also to play important roles in Chopin's life there. His fellow student at the Warsaw Conservatory, Julian Fontana, had originally tried unsuccessfully to establish himself in England; Albert Grzymała, who in Paris became a wealthy financier and society figure, often acted as Chopin's adviser and ""gradually began to fill the role of elder brother in [his] life."" Fontana was to become, in the words of Michałowski and Samson, Chopin's ""general factotum and copyist"".",Which friend took on the role of several jobs to help Chopin including copyist?,133,Julian Fontana
"Nuclear claims between the U.S. and the Marshall Islands are ongoing, and health effects from these nuclear tests linger. Project 4.1 was a medical study conducted by the United States of those residents of the Bikini Atoll exposed to radioactive fallout. From 1956 to August 1998, at least $759 million was paid to the Marshallese Islanders in compensation for their exposure to U.S. nuclear weapon testing.","In millions of dollars, how much money did the United States pay out in nuclear testing compensation to Marshall Island residents between 1956 and 1998?",292,759
"Holy Cross Father John Francis O'Hara was elected vice-president in 1933 and president of Notre Dame in 1934. During his tenure at Notre Dame, he brought numerous refugee intellectuals to campus; he selected Frank H. Spearman, Jeremiah D. M. Ford, Irvin Abell, and Josephine Brownson for the Laetare Medal, instituted in 1883. O'Hara strongly believed that the Fighting Irish football team could be an effective means to ""acquaint the public with the ideals that dominate"" Notre Dame. He wrote, ""Notre Dame football is a spiritual service because it is played for the honor and glory of God and of his Blessed Mother. When St. Paul said: 'Whether you eat or drink, or whatsoever else you do, do all for the glory of God,' he included football.""",Which person became vice-president of Notre Dame in 1933?,11,Father John Francis O'Hara
